Protein	Des
A0A0H3M5V0	Genome Annotation
A0A0H3M5V1	Genome Annotation
A0A0H3M5V7	Genome Annotation
A0A0H3M5W6	Genome Annotation
A0A0H3M5X7	Genome Annotation
A0A0H3M5Z5	Genome Annotation
A0A0H3M5Z7	Genome Annotation
A0A0H3M610	Genome Annotation
A0A0H3M624	Genome Annotation
A0A0H3M638	Genome Annotation
A0A0H3M639	Genome Annotation
A0A0H3M647	Genome Annotation
A0A0H3M648	Genome Annotation
A0A0H3M677	Genome Annotation
A0A0H3M694	Genome Annotation
A0A0H3M6A1	Genome Annotation
A0A0H3M6B2	Genome Annotation
A0A0H3M6B9	Genome Annotation
A0A0H3M6E1	Genome Annotation
A0A0H3M6F5	Genome Annotation
A0A0H3M6H3	Genome Annotation
A0A0H3M6I8	Genome Annotation
A0A0H3M6I9	Genome Annotation
A0A0H3M6J3	Genome Annotation
A0A0H3M6L3	Genome Annotation
A0A0H3M6N8	Genome Annotation
A0A0H3M6Q0	Genome Annotation
A0A0H3M6S7	Genome Annotation
A0A0H3M6T3	Genome Annotation
A0A0H3M6U0	Genome Annotation
A0A0H3M6U5	Genome Annotation
A0A0H3M6U9	Genome Annotation
A0A0H3M6V0	Genome Annotation
A0A0H3M6W3	Genome Annotation
A0A0H3M6Y7	Genome Annotation
A0A0H3M6Y9	Genome Annotation
A0A0H3M714	Genome Annotation
A0A0H3M719	Genome Annotation
A0A0H3M729	Genome Annotation
A0A0H3M737	Genome Annotation
A0A0H3M741	Genome Annotation
A0A0H3M745	Genome Annotation
A0A0H3M746	Genome Annotation
A0A0H3M751	Genome Annotation
A0A0H3M760	Genome Annotation
A0A0H3M763	Genome Annotation
A0A0H3M781	Genome Annotation
A0A0H3M782	Genome Annotation
A0A0H3M795	Genome Annotation
A0A0H3M7A7	Genome Annotation
A0A0H3M7A9	Genome Annotation
A0A0H3M7E0	Genome Annotation
A0A0H3M7E1	Genome Annotation
A0A0H3M7E6	Genome Annotation
A0A0H3M7F4	Genome Annotation
A0A0H3M7F7	Genome Annotation
A0A0H3M7G2	Genome Annotation
A0A0H3M7I8	Genome Annotation
A0A0H3M7K2	Genome Annotation
A0A0H3M7L7	Genome Annotation
A0A0H3M7N1	Genome Annotation
A0A0H3M7N2	Genome Annotation
A0A0H3M7R2	Genome Annotation
