Protein	Accession	Accession.id
Q8PXV7	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8PZB5	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8Q0G7	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8Q0G9	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8Q0P3	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8R6T1		
Q8R783		
Q8R7V8		
Q8R8L6		
Q8R8Q1		
Q8R910		
Q8R964		
Q8R967		
Q8R9D4		
Q8R9G5		
Q8R9S4		
Q8RAC9		
Q8RAH3		
Q8RAR7		
Q8RB35		
Q8RB43		
Q8RBD0		
Q8RBD2		
Q8RBE3		
Q8RBV3		
Q8RCJ1		
Q8RCZ5		
Q8RD14		
Q8RDJ3		
Q8RDL1		
Q8TSY2	Methanosarcina	https://microbewiki.kenyon.edu/index.php/Methanosarcina
Q8TZX0	Pyrococcus	https://microbewiki.kenyon.edu/index.php/Pyrococcus
Q8VKS0	Mycobacterium	https://microbewiki.kenyon.edu/index.php/Mycobacterium
Q8VKS5	Mycobacterium	https://microbewiki.kenyon.edu/index.php/Mycobacterium
Q8VQA0	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8VSB2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q8VSC3	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q8X3W8	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X405	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X492	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X4E2	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X4K9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X4P8	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X4T7	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X4V5	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X505	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5C4	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5E9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5H9	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5N5	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5V1	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5V5	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X5Z8	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X600	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X611	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X6M8	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X6S3	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X6Z6	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X722	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X733	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X737	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X743	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
Q8X7C5	Escherichia	https://microbewiki.kenyon.edu/index.php/Escherichia
